lat,lon,day_max,night_min
-90,-180,256.8193,62.3799
-90,-179,256.7261,62.3688
-90,-178,253.3128,58.4068
-90,-177,255.2209,58.7178
-90,-176,253.3497,65.8854
-90,-175,250.3235,65.665
-90,-174,251.1612,62.7778
-90,-173,248.9304,66.0072
-90,-172,248.9503,69.5382
-90,-171,249.2295,70.4062
-90,-170,257.2376,69.3271
-90,-169,254.3307,69.5936
-90,-168,247.2091,69.2885
-90,-167,249.2053,68.0067
-90,-166,245.3568,68.3164
-90,-165,244.0826,66.8473
-90,-164,239.4939,68.3178
-90,-163,239.3557,66.7745
-90,-162,243.476,70.0644
-90,-161,236.1257,72.4195
-90,-160,232.7325,68.1842
-90,-159,236.2657,74.5736
-90,-158,226.65,76.2105
-90,-157,234.874,75.7337
-90,-156,232.1763,79.1248
-90,-155,228.7919,68.576
-90,-154,224.9736,75.3756
-90,-153,225.3839,74.2732
-90,-152,221.1531,70.8989
-90,-151,225.3832,70.3464
-90,-150,221.1563,69.1673
-90,-149,225.89,71.1991
-90,-148,234.2097,71.7998
-90,-147,230.2689,71.9567
-90,-146,231.7749,69.3583
-90,-145,238.8359,70.6292
-90,-144,232.8509,74.436
-90,-143,236.4391,74.7465
-90,-142,237.2638,74.4287
-90,-141,239.074,72.8786
-90,-140,239.5941,71.0036
-90,-139,244.4599,71.7183
-90,-138,244.963,70.1116
-90,-137,245.6155,69.6353
-90,-136,241.4236,71.5025
-90,-135,239.4805,68.2771
-90,-134,238.9838,64.2554
-90,-133,236.6743,62.5056
-90,-132,233.8348,63.6603
-90,-131,235.6585,61.8063
-90,-130,238.654,57.0999
-90,-129,237.1575,56.0955
-90,-128,239.9687,59.5071
-90,-127,241.2377,58.6402
-90,-126,242.1749,58.2617
-90,-125,237.1447,57.4518
-90,-124,246.5381,56.3018
-90,-123,240.2213,55.4664
-90,-122,241.0466,53.1965
-90,-121,236.6577,50.5507
-90,-120,238.7579,49.3425
-90,-119,234.6354,49.8729
-90,-118,238.6279,48.5185
-90,-117,232.432,48.5877
-90,-116,244.2961,50.0193
-90,-115,233.8755,50.6098
-90,-114,240.4895,54.1181
-90,-113,250.8674,58.8418
-90,-112,251.2485,63.9518
-90,-111,254.5537,67.3297
-90,-110,259.5075,66.3536
-90,-109,259.9101,67.7341
-90,-108,258.1751,68.4636
-90,-107,260.3766,68.3596
-90,-106,262.7585,68.1383
-90,-105,262.0236,67.8844
-90,-104,258.0995,68.5607
-90,-103,254.6195,67.8423
-90,-102,256.5565,66.4936
-90,-101,260.4631,63.7109
-90,-100,253.7864,64.3377
-90,-99,247.7382,63.2445
-90,-98,244.1732,61.4025
-90,-97,241.3244,57.8066
-90,-96,241.4545,56.3397
-90,-95,234.0866,52.7937
-90,-94,238.373,52.083
-90,-93,237.4895,49.05
-90,-92,233.8167,47.8395
-90,-91,234.4431,45.5386
-90,-90,234.5088,47.8748
-90,-89,230.0069,44.7204
-90,-88,221.8382,43.1878
-90,-87,228.4407,42.2677
-90,-86,222.983,43.7098
-90,-85,222.6097,42.5315
-90,-84,216.9462,42.0845
-90,-83,216.2062,42.9971
-90,-82,218.4123,42.0208
-90,-81,212.8437,42.3591
-90,-80,210.2569,41.9999
-90,-79,210.4179,42.2347
-90,-78,210.6578,43.6881
-90,-77,209.0155,43.5433
-90,-76,213.5699,43.0043
-90,-75,203.4039,43.8779
-90,-74,207.5578,44.029
-90,-73,209.0321,43.8342
-90,-72,211.3757,43.925
-90,-71,206.0629,44.2543
-90,-70,200.4959,42.0822
-90,-69,211.8872,44.0675
-90,-68,206.6344,43.9539
-90,-67,212.8143,43.0988
-90,-66,216.2533,41.5655
-90,-65,219.3032,41.7138
-90,-64,217.9419,44.8328
-90,-63,218.6185,47.0402
-90,-62,222.2655,45.5661
-90,-61,226.6421,46.4991
-90,-60,228.7386,48.1262
-90,-59,227.4011,45.5845
-90,-58,223.7751,44.1739
-90,-57,221.967,43.149
-90,-56,225.0615,41.4367
-90,-55,221.5079,39.8489
-90,-54,220.7286,38.7107
-90,-53,220.6425,40.0675
-90,-52,218.2753,40.8127
-90,-51,213.8362,40.1169
-90,-50,214.0986,40.01
-90,-49,214.6987,41.1389
-90,-48,209.5624,41.5613
-90,-47,211.1499,39.2094
-90,-46,208.5011,40.4705
-90,-45,214.8921,40.5421
-90,-44,207.3743,41.4395
-90,-43,212.6109,39.5155
-90,-42,209.1858,38.5963
-90,-41,210.462,39.5167
-90,-40,210.5319,37.506
-90,-39,208.2134,39.7103
-90,-38,209.1057,38.4343
-90,-37,204.0616,38.4706
-90,-36,214.1819,38.2767
-90,-35,214.719,37.929
-90,-34,213.7106,38.2262
-90,-33,209.8777,35.801
-90,-32,219.2142,38.4965
-90,-31,223.7596,39.2739
-90,-30,217.4463,38.5796
-90,-29,218.602,38.6084
-90,-28,215.1369,37.3555
-90,-27,215.0747,39.4501
-90,-26,216.0699,39.4408
-90,-25,217.0025,37.4082
-90,-24,215.836,40.313
-90,-23,215.7213,37.7256
-90,-22,218.0446,41.0042
-90,-21,215.3395,41.189
-90,-20,218.7327,42.8739
-90,-19,214.8929,42.6666
-90,-18,218.7081,44.5129
-90,-17,216.2386,43.3379
-90,-16,214.562,44.2485
-90,-15,215.1121,43.8369
-90,-14,221.6143,44.9766
-90,-13,221.9968,46.8659
-90,-12,225.8333,46.9149
-90,-11,228.2822,46.7855
-90,-10,231.2887,48.2485
-90,-9,228.3725,49.9157
-90,-8,228.5365,50.3581
-90,-7,229.5515,51.4017
-90,-6,230.5534,51.1777
-90,-5,227.5588,52.1518
-90,-4,226.2873,53.668
-90,-3,229.044,55.0081
-90,-2,233.3293,55.4252
-90,-1,231.8285,57.4893
-90,0,230.666,56.9569
-90,1,236.4886,57.7376
-90,2,235.7126,59.5903
-90,3,240.7269,60.9769
-90,4,245.6599,60.4916
-90,5,241.5332,60.9327
-90,6,240.3369,60.9021
-90,7,242.2516,60.9241
-90,8,245.768,60.7653
-90,9,244.7357,61.3588
-90,10,241.6814,61.0548
-90,11,243.5956,61.8877
-90,12,245.8621,61.8258
-90,13,235.2876,60.6591
-90,14,237.7166,60.8861
-90,15,232.8993,60.8091
-90,16,230.7263,61.0787
-90,17,227.1022,60.5671
-90,18,226.6214,61.0908
-90,19,225.485,59.9097
-90,20,221.7987,59.9651
-90,21,224.9846,59.7208
-90,22,229.2446,59.8015
-90,23,243.048,60.3213
-90,24,242.4046,61.2947
-90,25,236.0763,62.0363
-90,26,240.1262,62.1149
-90,27,253.1167,62.5807
-90,28,246.3949,63.0877
-90,29,243.6939,63.0427
-90,30,235.6788,61.4666
-90,31,241.9917,61.76
-90,32,242.3829,61.9899
-90,33,233.2262,61.4758
-90,34,229.5726,61.5109
-90,35,232.6773,60.905
-90,36,231.7937,62.0334
-90,37,233.3722,62.6354
-90,38,224.4134,61.85
-90,39,230.7906,63.7399
-90,40,223.5999,64.2507
-90,41,223.7897,64.6612
-90,42,228.6194,66.8239
-90,43,230.2051,66.5592
-90,44,227.6106,68.7668
-90,45,228.9924,68.6757
-90,46,233.2014,69.8409
-90,47,233.8927,71.5974
-90,48,235.1721,70.9788
-90,49,235.3765,72.334
-90,50,233.6409,72.4965
-90,51,229.3721,72.808
-90,52,229.9137,72.1941
-90,53,227.8934,72.9103
-90,54,226.514,74.4943
-90,55,236.0894,73.5229
-90,56,230.4996,74.5686
-90,57,231.7195,75.0738
-90,58,227.6817,75.4092
-90,59,225.6679,74.4461
-90,60,237.4017,74.9756
-90,61,230.1239,73.2584
-90,62,229.9676,73.5035
-90,63,231.3827,71.8398
-90,64,231.2147,71.9987
-90,65,238.544,72.7752
-90,66,230.0081,71.3143
-90,67,234.3864,69.0788
-90,68,226.58,69.5048
-90,69,235.4289,69.3879
-90,70,236.6889,69.6285
-90,71,230.5789,68.3139
-90,72,224.0532,62.4889
-90,73,219.9423,65.0234
-90,74,221.2182,64.3908
-90,75,225.5228,58.167
-90,76,222.8575,55.6689
-90,77,223.7483,60.3084
-90,78,216.7667,58.8315
-90,79,215.1029,45.5674
-90,80,215.3157,53.4747
-90,81,210.7007,51.4018
-90,82,208.377,51.2517
-90,83,199.4019,49.169
-90,84,204.8614,46.8815
-90,85,203.644,42.8458
-90,86,202.3835,48.2186
-90,87,198.4161,47.1257
-90,88,193.2018,46.9656
-90,89,181.8492,46.5348
-90,90,187.8068,45.6712
-90,91,163.3949,44.571
-90,92,147.1131,44.655
-90,93,122.489,45.8785
-90,94,125.7972,45.2801
-90,95,136.7168,44.8947
-90,96,110.9339,45.1062
-90,97,131.3179,44.9497
-90,98,124.6275,45.325
-90,99,121.4381,45.1766
-90,100,113.1776,45.8417
-90,101,108.8799,44.754
-90,102,116.3002,44.5125
-90,103,122.7848,45.2754
-90,104,106.3811,45.2553
-90,105,119.7594,45.6422
-90,106,106.1693,44.4353
-90,107,101.653,44.1945
-90,108,117.0373,45.1009
-90,109,98.9675,44.9702
-90,110,129.5938,43.9568
-90,111,125.832,44.5911
-90,112,100.1663,44.0659
-90,113,121.6557,43.6184
-90,114,100.9839,41.8657
-90,115,136.5146,42.7532
-90,116,121.1074,41.9144
-90,117,120.8034,42.3364
-90,118,131.9528,42.0681
-90,119,104.2799,42.9061
-90,120,130.5121,42.1599
-90,121,100.4406,42.8124
-90,122,102.8362,43.0831
-90,123,96.1472,42.33
-90,124,123.3459,41.719
-90,125,141.5068,42.0823
-90,126,98.2115,41.9753
-90,127,101.9912,41.201
-90,128,104.9419,41.5867
-90,129,124.4474,41.4921
-90,130,136.0326,41.5051
-90,131,95.4206,41.0548
-90,132,135.9485,41.1672
-90,133,99.5053,41.6154
-90,134,105.4227,40.9002
-90,135,117.7025,41.0684
-90,136,108.9333,40.2299
-90,137,102.6626,40.0092
-90,138,101.2467,40.6121
-90,139,98.0353,38.4666
-90,140,111.2148,39.4034
-90,141,99.9369,40.0315
-90,142,100.788,40.6935
-90,143,124.578,39.68
-90,144,113.3044,39.3886
-90,145,130.9935,39.0593
-90,146,97.883,40.9024
-90,147,114.1188,40.703
-90,148,111.3041,40.1548
-90,149,126.9098,41.0336
-90,150,106.0076,40.2273
-90,151,104.1506,40.9252
-90,152,106.0841,40.3689
-90,153,134.5763,40.1991
-90,154,129.1821,40.8041
-90,155,108.0052,40.9238
-90,156,106.5902,40.5494
-90,157,125.3177,40.7193
-90,158,120.6919,41.9516
-90,159,118.961,41.1468
-90,160,115.6114,41.3703
-90,161,118.3351,40.9092
-90,162,120.5744,41.5828
-90,163,128.5028,41.7008
-90,164,127.2722,41.433
-90,165,131.3952,41.9969
-90,166,131.6049,43.0538
-90,167,160.0539,43.702
-90,168,178.0618,45.2408
-90,169,183.4878,46.6482
-90,170,211.0234,46.1642
-90,171,206.158,47.4943
-90,172,209.3798,49.2333
-90,173,220.3885,49.2406
-90,174,213.9687,49.4832
-90,175,218.5456,50.1331
-90,176,232.3054,52.0593
-90,177,241.0379,58.8365
-90,178,246.7655,59.4193
-90,179,252.4389,56.0504
-90,180,258.847,60.2743
-89,-180,227.6814,38.7735
-89,-179,232.1553,37.2946
-89,-178,226.8022,36.9454
-89,-177,222.9083,36.5475
-89,-176,220.9329,35.84
-89,-175,217.3817,36.4541
-89,-174,216.7566,36.0402
-89,-173,214.6333,35.7103
-89,-172,215.364,37.7088
-89,-171,216.8917,37.8165
-89,-170,227.1828,41.7892
-89,-169,230.0591,47.323
-89,-168,237.9572,49.3416
-89,-167,237.5192,51.4773
-89,-166,236.5375,51.5172
-89,-165,237.5441,51.5541
-89,-164,242.0508,52.0346
-89,-163,245.5878,49.7488
-89,-162,248.3843,50.7665
-89,-161,245.7494,49.8972
-89,-160,244.8105,50.9284
-89,-159,240.6843,50.3656
-89,-158,238.6867,50.5485
-89,-157,235.0499,52.0518
-89,-156,240.6061,54.0596
-89,-155,241.8541,54.4806
-89,-154,236.7482,53.8815
-89,-153,235.3545,52.5838
-89,-152,244.4853,51.7039
-89,-151,247.268,51.1796
-89,-150,234.4397,48.1008
-89,-149,236.5842,48.561
-89,-148,240.8903,46.3604
-89,-147,242.7629,45.5658
-89,-146,242.4026,44.4219
-89,-145,247.7585,44.8998
-89,-144,254.899,42.8775
-89,-143,257.0204,44.2878
-89,-142,256.4273,44.3089
-89,-141,255.0904,41.5453
-89,-140,252.3708,41.2993
-89,-139,252.9799,41.6657
-89,-138,257.8383,41.6384
-89,-137,257.3741,41.814
-89,-136,259.232,43.272
-89,-135,258.3304,43.1747
-89,-134,261.2518,44.2848
-89,-133,259.7219,44.119
-89,-132,263.6408,42.3649
-89,-131,261.4779,43.2886
-89,-130,261.7384,44.176
-89,-129,263.3138,45.6911
-89,-128,260.382,46.4981
-89,-127,258.6466,46.9751
-89,-126,258.5826,45.5791
-89,-125,256.7629,46.923
-89,-124,253.7144,47.5945
-89,-123,252.7229,48.2026
-89,-122,249.0744,47.3003
-89,-121,247.9983,47.4003
-89,-120,255.1456,47.7989
-89,-119,256.3957,48.3951
-89,-118,261.0403,50.9841
-89,-117,272.2308,53.4444
-89,-116,276.8546,56.5771
-89,-115,279.2661,60.1458
-89,-114,282.1026,62.1077
-89,-113,274.7219,64.2897
-89,-112,262.2384,64.2074
-89,-111,258.6216,64.0885
-89,-110,255.5889,61.6151
-89,-109,253.0173,56.3244
-89,-108,249.9752,55.3182
-89,-107,251.3296,55.463
-89,-106,250.3203,55.6998
-89,-105,241.7298,53.2322
-89,-104,242.7706,51.6359
