lat,lon,gravity
89.5,-179.5,5.3572
89.5,-178.5,5.8248
89.5,-177.5,6.3129
89.5,-176.5,6.809
89.5,-175.5,7.2973
89.5,-174.5,7.7601
89.5,-173.5,8.1789
89.5,-172.5,8.5356
89.5,-171.5,8.8139
89.5,-170.5,9.0007
89.5,-169.5,9.0876
89.5,-168.5,9.0713
89.5,-167.5,8.9545
89.5,-166.5,8.7456
89.5,-165.5,8.4584
89.5,-164.5,8.1108
89.5,-163.5,7.7235
89.5,-162.5,7.3183
89.5,-161.5,6.9164
89.5,-160.5,6.5365
89.5,-159.5,6.1938
89.5,-158.5,5.899
89.5,-157.5,5.6579
89.5,-156.5,5.4717
89.5,-155.5,5.3379
89.5,-154.5,5.2515
89.5,-153.5,5.2063
89.5,-152.5,5.197
89.5,-151.5,5.2197
89.5,-150.5,5.2736
89.5,-149.5,5.3609
89.5,-148.5,5.4864
89.5,-147.5,5.6573
89.5,-146.5,5.8808
89.5,-145.5,6.1633
89.5,-144.5,6.5078
89.5,-143.5,6.9128
89.5,-142.5,7.3708
89.5,-141.5,7.8679
89.5,-140.5,8.3844
89.5,-139.5,8.8956
89.5,-138.5,9.3742
89.5,-137.5,9.7929
89.5,-136.5,10.1271
89.5,-135.5,10.3583
89.5,-134.5,10.4761
89.5,-133.5,10.4809
89.5,-132.5,10.3837
89.5,-131.5,10.2066
89.5,-130.5,9.9811
89.5,-129.5,9.7451
89.5,-128.5,9.5401
89.5,-127.5,9.4067
89.5,-126.5,9.3811
89.5,-125.5,9.4909
89.5,-124.5,9.7525
89.5,-123.5,10.169
89.5,-122.5,10.7299
89.5,-121.5,11.4114
89.5,-120.5,12.1785
89.5,-119.5,12.9882
89.5,-118.5,13.7926
89.5,-117.5,14.5438
89.5,-116.5,15.1971
89.5,-115.5,15.7149
89.5,-114.5,16.0695
89.5,-113.5,16.2451
89.5,-112.5,16.2383
89.5,-111.5,16.0579
89.5,-110.5,15.7237
89.5,-109.5,15.2645
89.5,-108.5,14.7152
89.5,-107.5,14.114
89.5,-106.5,13.4992
89.5,-105.5,12.9067
89.5,-104.5,12.3675
89.5,-103.5,11.9056
89.5,-102.5,11.5371
89.5,-101.5,11.2698
89.5,-100.5,11.1032
89.5,-99.5,11.0294
89.5,-98.5,11.0344
89.5,-97.5,11.1
89.5,-96.5,11.2057
89.5,-95.5,11.3305
89.5,-94.5,11.4549
89.5,-93.5,11.5625
89.5,-92.5,11.641
89.5,-91.5,11.6829
89.5,-90.5,11.6853
89.5,-89.5,11.6494
89.5,-88.5,11.5799
89.5,-87.5,11.4831
89.5,-86.5,11.3657
89.5,-85.5,11.2332
89.5,-84.5,11.0888
89.5,-83.5,10.9324
89.5,-82.5,10.7599
89.5,-81.5,10.5641
89.5,-80.5,10.3346
89.5,-79.5,10.0598
89.5,-78.5,9.7277
89.5,-77.5,9.328
89.5,-76.5,8.8535
89.5,-75.5,8.3013
89.5,-74.5,7.6737
89.5,-73.5,6.9788
89.5,-72.5,6.2296
89.5,-71.5,5.4438
89.5,-70.5,4.6424
89.5,-69.5,3.8481
89.5,-68.5,3.084
89.5,-67.5,2.3718
89.5,-66.5,1.7306
89.5,-65.5,1.176
89.5,-64.5,0.7195
89.5,-63.5,0.3677
89.5,-62.5,0.1227
89.5,-61.5,-0.0178
89.5,-60.5,-0.0608
89.5,-59.5,-0.0174
89.5,-58.5,0.0975
89.5,-57.5,0.2653
89.5,-56.5,0.4639
89.5,-55.5,0.669
89.5,-54.5,0.8541
89.5,-53.5,0.9926
89.5,-52.5,1.0589
89.5,-51.5,1.0307
89.5,-50.5,0.8911
89.5,-49.5,0.6311
89.5,-48.5,0.251
89.5,-47.5,-0.2377
89.5,-46.5,-0.8122
89.5,-45.5,-1.4389
89.5,-44.5,-2.075
89.5,-43.5,-2.6719
89.5,-42.5,-3.1789
89.5,-41.5,-3.5476
89.5,-40.5,-3.7368
89.5,-39.5,-3.7171
89.5,-38.5,-3.4742
89.5,-37.5,-3.0114
89.5,-36.5,-2.3501
89.5,-35.5,-1.5287
89.5,-34.5,-0.6001
89.5,-33.5,0.373
89.5,-32.5,1.3236
89.5,-31.5,2.1859
89.5,-30.5,2.9016
89.5,-29.5,3.4246
89.5,-28.5,3.7255
89.5,-27.5,3.7935
89.5,-26.5,3.6373
89.5,-25.5,3.2835
89.5,-24.5,2.7737
89.5,-23.5,2.1605
89.5,-22.5,1.5024
89.5,-21.5,0.8581
89.5,-20.5,0.282
89.5,-19.5,-0.1804
89.5,-18.5,-0.4961
89.5,-17.5,-0.6461
89.5,-16.5,-0.6259
89.5,-15.5,-0.4451
89.5,-14.5,-0.1253
89.5,-13.5,0.3032
89.5,-12.5,0.8039
89.5,-11.5,1.3387
89.5,-10.5,1.8703
89.5,-9.5,2.3659
89.5,-8.5,2.799
89.5,-7.5,3.1511
89.5,-6.5,3.4121
89.5,-5.5,3.5805
89.5,-4.5,3.6619
89.5,-3.5,3.6682
89.5,-2.5,3.6154
89.5,-1.5,3.5216
89.5,-0.5,3.4052
89.5,0.5,3.2833
89.5,1.5,3.17
89.5,2.5,3.0755
89.5,3.5,3.0058
89.5,4.5,2.9629
89.5,5.5,2.9447
89.5,6.5,2.9466
89.5,7.5,2.9621
89.5,8.5,2.984
89.5,9.5,3.0061
89.5,10.5,3.0237
89.5,11.5,3.0345
89.5,12.5,3.0391
89.5,13.5,3.0407
89.5,14.5,3.0451
89.5,15.5,3.0593
89.5,16.5,3.0905
89.5,17.5,3.145
89.5,18.5,3.2269
89.5,19.5,3.3368
89.5,20.5,3.4714
89.5,21.5,3.6226
89.5,22.5,3.7783
89.5,23.5,3.9233
89.5,24.5,4.0402
89.5,25.5,4.1115
89.5,26.5,4.1215
89.5,27.5,4.0585
89.5,28.5,3.9164
89.5,29.5,3.6961
89.5,30.5,3.406
89.5,31.5,3.062
89.5,32.5,2.6863
89.5,33.5,2.3055
89.5,34.5,1.9481
89.5,35.5,1.6411
89.5,36.5,1.4075
89.5,37.5,1.263
89.5,38.5,1.2139
89.5,39.5,1.2558
89.5,40.5,1.3731
89.5,41.5,1.5404
89.5,42.5,1.7246
89.5,43.5,1.8881
89.5,44.5,1.9926
89.5,45.5,2.0037
89.5,46.5,1.8945
89.5,47.5,1.6489
89.5,48.5,1.2646
89.5,49.5,0.753
89.5,50.5,0.1392
89.5,51.5,-0.5402
89.5,52.5,-1.2405
89.5,53.5,-1.9135
89.5,54.5,-2.5121
89.5,55.5,-2.9949
89.5,56.5,-3.3308
89.5,57.5,-3.5017
89.5,58.5,-3.504
89.5,59.5,-3.3496
89.5,60.5,-3.0633
89.5,61.5,-2.681
89.5,62.5,-2.2454
89.5,63.5,-1.8019
89.5,64.5,-1.3938
89.5,65.5,-1.0588
89.5,66.5,-0.8249
89.5,67.5,-0.709
89.5,68.5,-0.7154
89.5,69.5,-0.8363
89.5,70.5,-1.053
89.5,71.5,-1.3386
89.5,72.5,-1.6604
89.5,73.5,-1.9835
89.5,74.5,-2.274
89.5,75.5,-2.5019
89.5,76.5,-2.6431
89.5,77.5,-2.6818
89.5,78.5,-2.6112
89.5,79.5,-2.4334
89.5,80.5,-2.1593
89.5,81.5,-1.8071
89.5,82.5,-1.4006
89.5,83.5,-0.967
89.5,84.5,-0.5344
89.5,85.5,-0.1295
89.5,86.5,0.2251
89.5,87.5,0.5126
89.5,88.5,0.7239
89.5,89.5,0.8579
89.5,90.5,0.9222
89.5,91.5,0.9317
89.5,92.5,0.9079
89.5,93.5,0.8756
89.5,94.5,0.8614
89.5,95.5,0.8897
89.5,96.5,0.9804
89.5,97.5,1.1464
89.5,98.5,1.3913
89.5,99.5,1.7089
89.5,100.5,2.0826
89.5,101.5,2.4872
89.5,102.5,2.8904
89.5,103.5,3.256
89.5,104.5,3.5473
89.5,105.5,3.7307
89.5,106.5,3.7791
89.5,107.5,3.6752
89.5,108.5,3.4131
89.5,109.5,3.0
89.5,110.5,2.4552
89.5,111.5,1.8096
89.5,112.5,1.1027
89.5,113.5,0.3795
89.5,114.5,-0.3133
89.5,115.5,-0.9313
89.5,116.5,-1.4363
89.5,117.5,-1.7993
89.5,118.5,-2.0026
89.5,119.5,-2.0416
89.5,120.5,-1.9241
89.5,121.5,-1.6697
